127.0.0.1 - root [25/Oct/2019:16:47:54 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:47:54 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:47:55 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
127.0.0.1 - root [25/Oct/2019:16:47:57 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext8644302413026477988.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - root [25/Oct/2019:16:47:57 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:47:57 -0300] "GET /Opportunity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:47:58 -0300] "GET /Opportunity/ HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:48:05 -0300] "POST /Opportunity/Login HTTP/1.1" 200 458888
127.0.0.1 - - [25/Oct/2019:16:52:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:52:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:52:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:52:29 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - - [25/Oct/2019:16:52:29 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:52:38 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:52:38 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:52:38 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:52:39 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 198
127.0.0.1 - root [25/Oct/2019:16:52:39 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext1143494646349233302.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - - [25/Oct/2019:16:54:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:54:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:54:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:54:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:54:21 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:54:21 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:54:22 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
127.0.0.1 - root [25/Oct/2019:16:54:23 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext4828352219798123232.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - root [25/Oct/2019:16:54:23 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:54:24 -0300] "GET /Opportunity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:54:24 -0300] "GET /Opportunity/ HTTP/1.1" 200 5501
127.0.0.1 - - [25/Oct/2019:16:55:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:55:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:55:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:55:25 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - - [25/Oct/2019:16:55:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:55:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:55:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:55:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:55:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:55:32 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:55:32 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:55:33 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
127.0.0.1 - root [25/Oct/2019:16:55:36 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext354078929502158310.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - root [25/Oct/2019:16:55:36 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:55:36 -0300] "GET /Opportunity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:55:36 -0300] "GET /Opportunity/ HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [25/Oct/2019:16:55:59 -0300] "POST /Opportunity/Login HTTP/1.1" 200 458107
127.0.0.1 - - [25/Oct/2019:16:56:57 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:56:57 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:56:57 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:56:57 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:56:58 -0300] "GET /manager/text/stop?path=/Opportunity HTTP/1.1" 200 68
127.0.0.1 - - [25/Oct/2019:16:57:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:16:57:03 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:57:03 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:16:57:06 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
127.0.0.1 - - [25/Oct/2019:16:57:06 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:16:57:07 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:02:50 -0300] "GET /Opportunity/TimeSheet HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:21 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:17:32:21 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:17:32:24 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:24 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:24 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:17:32:24 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - - [25/Oct/2019:17:32:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:32:32 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:17:32:32 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - root [25/Oct/2019:17:32:32 -0300] "GET /manager/text/list HTTP/1.1" 200 154
127.0.0.1 - root [25/Oct/2019:17:32:41 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext1966244695679361450.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - root [25/Oct/2019:17:32:41 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:32:41 -0300] "GET /Opportunity HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:32:42 -0300] "GET /Opportunity/ HTTP/1.1" 200 5501
0:0:0:0:0:0:0:1 - - [25/Oct/2019:17:32:52 -0300] "POST /Opportunity/Login HTTP/1.1" 200 458107
127.0.0.1 - - [25/Oct/2019:17:33:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:33:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:33:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:17:33:15 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - - [25/Oct/2019:17:33:15 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:33:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:33:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:33:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:33:22 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:17:33:22 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:17:33:22 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:17:33:23 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 198
127.0.0.1 - root [25/Oct/2019:17:33:23 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext3416800923540981968.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - - [25/Oct/2019:17:35:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:35:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:35:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - - [25/Oct/2019:17:35:25 -0300] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - root [25/Oct/2019:17:35:25 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:17:35:25 -0300] "GET /manager/text/list HTTP/1.1" 200 263
127.0.0.1 - root [25/Oct/2019:17:35:26 -0300] "GET /manager/text/undeploy?path=/Opportunity HTTP/1.1" 200 71
127.0.0.1 - root [25/Oct/2019:17:35:27 -0300] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FPAULO%7E1.BEZ%2FAppData%2FLocal%2FTemp%2Fcontext8342571672434464756.xml&path=/Opportunity HTTP/1.1" 200 69
127.0.0.1 - root [25/Oct/2019:17:35:27 -0300] "GET /manager/text/start?path=/Opportunity HTTP/1.1" 200 68
